Zarobek, Czas podrozy, Z populacji, Zarobek, Czas podrozy, Z populacji, Zarobek, Czas podrozy, Z populacji, Zarobek, Czas podrozy, Z populacji, 
512352, 1951633.0719071531, 133, 525591, 1630465.508231518, 133, 528187, 2036901.5183027508, 133, 523101, 1918838.2359742762, 133, 
509636, 1926684.0683432498, 134, 526139, 1627837.1155625458, 134, 528187, 2033743.6710092493, 134, 523101, 1905633.3179746934, 134, 
509636, 1913887.3948406174, 135, 525594, 1622176.0805032447, 135, 528187, 2016352.3080385898, 135, 522538, 1898009.9368663575, 135, 
509636, 1902487.7046454765, 136, 528074, 1648597.4337152955, 136, 522278, 1969413.6370778594, 136, 522813, 1893742.540864031, 136, 
511158, 1893331.7504667223, 137, 528074, 1638309.9981997744, 137, 522278, 1963749.2795083227, 137, 521268, 1884623.3161706673, 137, 
511158, 1886394.1535575974, 138, 529257, 1636046.7296580898, 138, 523503, 1957121.9612590503, 138, 521539, 1879959.716076755, 138, 
511158, 1882286.6320283983, 139, 529911, 1631499.3410943893, 139, 523503, 1953330.986961623, 139, 521552, 1862240.6886163661, 139, 
511158, 1874679.4377665964, 140, 529911, 1620295.2688734632, 140, 523503, 1945675.6867454764, 140, 521552, 1856550.386193677, 140, 
511158, 1865730.7513531463, 141, 530931, 1617970.8172243035, 141, 522727, 1938829.0005367952, 141, 521150, 1848897.2165331226, 141, 
511158, 1858994.3933913514, 142, 530931, 1617557.7463101503, 142, 522727, 1932449.6359250452, 142, 521193, 1843793.0894311327, 142, 
511890, 1854759.303736865, 143, 527502, 1600500.5191934158, 143, 522727, 1926389.397600141, 143, 522636, 1833490.6383549448, 143, 
510368, 1832141.6745808031, 144, 527502, 1595129.2870115207, 144, 522727, 1922031.8907775567, 144, 522636, 1825773.0000578372, 144, 
510368, 1826066.5031589926, 145, 531399, 1630422.7946653003, 145, 522727, 1913320.396124863, 145, 522247, 1821546.0875844164, 145, 
510180, 1818741.47400677, 146, 531979, 1628387.4772049186, 146, 522727, 1907389.5352334427, 146, 522247, 1818578.775458604, 146, 
510504, 1814854.358152072, 147, 531359, 1625219.059416393, 147, 522410, 1888748.8488490824, 147, 522926, 1808926.4746130067, 147, 
510504, 1798069.8616560388, 148, 531569, 1619259.7290021356, 148, 518178, 1849830.386176807, 148, 523857, 1794943.1627468741, 148, 
510126, 1783201.159488732, 149, 531569, 1607872.8781452235, 149, 518178, 1841493.6036904445, 149, 524281, 1791907.3209048072, 149, 
509968, 1774650.3556413616, 150, 526714, 1573115.8170674788, 150, 518178, 1838124.9838081712, 150, 524281, 1786872.013236591, 150, 
508084, 1764043.7525641304, 151, 525722, 1549419.2603239433, 151, 518178, 1834250.69607915, 151, 524281, 1777117.6239247504, 151, 
508084, 1757288.6959721043, 152, 526032, 1547855.4922146474, 152, 518178, 1827412.8498497854, 152, 525449, 1772850.7995575424, 152, 
508084, 1750008.973666503, 153, 521275, 1525428.8707514738, 153, 518442, 1818706.294426412, 153, 525449, 1769406.2719661577, 153, 
508084, 1745456.0978193365, 154, 521275, 1518786.897495094, 154, 518442, 1809614.8348364595, 154, 524895, 1761170.9373564136, 154, 
508084, 1741223.6879818991, 155, 521275, 1515501.1748536148, 155, 518442, 1805787.4168958191, 155, 524895, 1756001.6148622246, 155, 
508573, 1734031.600123146, 156, 528749, 1585040.7570928847, 156, 518442, 1798018.7140529377, 156, 524895, 1751340.638107414, 156, 
509900, 1729595.798502144, 157, 528749, 1582513.0086185033, 157, 514757, 1777753.224676736, 157, 524895, 1741261.1692681373, 157, 
509900, 1720460.981788621, 158, 528331, 1574822.764751539, 158, 514757, 1772677.9855237182, 158, 524240, 1726119.0110064084, 158, 
510074, 1712005.6181119722, 159, 528749, 1576348.1364511182, 159, 515154, 1768248.6900290125, 159, 524240, 1722297.0554192532, 159, 
511094, 1702502.1046408622, 160, 529291, 1577570.197988575, 160, 514697, 1745745.5835494313, 160, 524733, 1715022.2907369754, 160, 
511094, 1694967.0920433688, 161, 525082, 1549068.158555723, 161, 515038, 1742709.030226889, 161, 524733, 1713296.969145374, 161, 
509567, 1685996.1982835692, 162, 525082, 1543563.5521582882, 162, 513209, 1730910.9546957123, 162, 523730, 1707242.4490727964, 162, 
509222, 1679891.1019854743, 163, 525394, 1542657.0336865583, 163, 513209, 1725641.1840722417, 163, 523730, 1704139.1759549927, 163, 
509222, 1672465.0157970965, 164, 525394, 1533288.9863216302, 164, 513209, 1718851.071461515, 164, 524010, 1696593.4148781502, 164, 
509222, 1669617.1028478262, 165, 523070, 1513854.0192684834, 165, 513209, 1712492.787220426, 165, 524010, 1691022.5027642532, 165, 
509222, 1664703.8177891187, 166, 523131, 1508523.266759543, 166, 513209, 1708811.063620109, 166, 524869, 1685533.4301193317, 166, 
509222, 1652133.7326292465, 167, 523695, 1504506.3611716188, 167, 513209, 1706518.7257339484, 167, 526097, 1682571.394602019, 167, 
508479, 1639770.9552712592, 168, 529123, 1566066.0980243946, 168, 513209, 1700420.4797224177, 168, 526720, 1673257.9550385813, 168, 
509222, 1637319.6803712433, 169, 526059, 1542294.8859022644, 169, 513209, 1697398.6565240843, 169, 526720, 1665983.0769818255, 169, 
509222, 1631530.045849256, 170, 526059, 1540689.7565484245, 170, 513209, 1693391.2885823864, 170, 527133, 1663814.4188922239, 170, 
508659, 1627550.5243219163, 171, 528792, 1555457.1220394617, 171, 513209, 1689716.186894307, 171, 527133, 1656350.8222830272, 171, 
508659, 1625752.4681627138, 172, 528948, 1554474.144784628, 172, 513209, 1685662.0810136476, 172, 527801, 1651247.4386267855, 172, 
